"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020081201001",2020-08-12,2020-09-10,"Hong Kong","1432:HK",0.73,"live",NA,0.8,0.0958904109589043,2020-08-25
"G2020081201002",2020-08-12,2020-09-10,"Hong Kong","373:HK",71,"live",NA,75.099998,0.0577464507042253,2020-08-25
"G2020081201003",2020-08-12,2020-09-10,"Japan","2790:JP",2030,"live",NA,NA,NA,2020-08-25
"G2020081201004",2020-08-12,2020-09-10,"Japan","3542:JP",3020,"live",NA,3725,0.233443708609272,2020-08-25
"G2020081301001",2020-08-13,2020-09-11,"Hong Kong","1432:HK",0.75,"live",NA,0.8,0.0666666666666667,2020-08-25
"G2020081301002",2020-08-13,2020-09-11,"Hong Kong","373:HK",73.5,"live",NA,75.099998,0.0217686802721089,2020-08-25
"G2020081301003",2020-08-13,2020-09-11,"Japan","2790:JP",2010,"live",NA,NA,NA,2020-08-25
"G2020081301004",2020-08-13,2020-09-11,"Japan","3542:JP",3005,"live",NA,3725,0.239600665557404,2020-08-25
"G2020081401001",2020-08-14,2020-09-14,"Hong Kong","1432:HK",0.78,"live",NA,0.8,0.0256410256410258,2020-08-25
"G2020081401002",2020-08-14,2020-09-14,"Hong Kong","373:HK",72.5,"live",NA,75.099998,0.0358620413793103,2020-08-25
"G2020081401003",2020-08-14,2020-09-14,"Japan","2790:JP",1981,"live",NA,NA,NA,2020-08-25
"G2020081401004",2020-08-14,2020-09-14,"Japan","3542:JP",3400,"live",NA,3725,0.0955882352941178,2020-08-25
"G2020081701001",2020-08-17,2020-09-15,"Hong Kong","1432:HK",0.74,"live",NA,0.8,0.0810810810810811,2020-08-25
"G2020081701002",2020-08-17,2020-09-15,"Hong Kong","373:HK",73.5,"live",NA,75.099998,0.0217686802721089,2020-08-25
"G2020081701003",2020-08-17,2020-09-15,"Japan","3542:JP",3265,"live",NA,3725,0.140888208269525,2020-08-25
"G2020081801001",2020-08-18,2020-09-16,"Hong Kong","1432:HK",0.75,"live",NA,0.8,0.0666666666666667,2020-08-25
"G2020081801002",2020-08-18,2020-09-16,"Hong Kong","373:HK",74.95,"live",NA,75.099998,0.00200130753835892,2020-08-25
"G2020081801003",2020-08-18,2020-09-16,"Japan","3542:JP",3365,"live",NA,3725,0.106983655274889,2020-08-25
"G2020081801004",2020-08-18,2020-09-16,"Japan","6445:JP",619,"live",NA,NA,NA,2020-08-25
"G2020081901001",2020-08-19,2020-09-17,"Hong Kong","1432:HK",0.76,"live",NA,0.8,0.0526315789473684,2020-08-25
"G2020081901002",2020-08-19,2020-09-17,"Japan","2150:JP",2725,"live",NA,2890,0.0605504587155963,2020-08-25
"G2020081901003",2020-08-19,2020-09-17,"Japan","3542:JP",3515,"live",NA,3725,0.0597439544807965,2020-08-25
"G2020081901004",2020-08-19,2020-09-17,"Japan","6279:JP",1203,"live",NA,NA,NA,2020-08-25
"G2020082001001",2020-08-20,2020-09-18,"Hong Kong","1432:HK",0.78,"live",NA,0.8,0.0256410256410258,2020-08-25
"G2020082001002",2020-08-20,2020-09-18,"Hong Kong","762:HK",6.19,"live",NA,NA,NA,2020-08-25
"G2020082001003",2020-08-20,2020-09-18,"Japan","2150:JP",2678,"live",NA,2890,0.0791635548917102,2020-08-25
"G2020082001004",2020-08-20,2020-09-18,"Japan","3628:JP",3460,"live",NA,3800,0.0982658959537572,2020-08-25
"G2020082001005",2020-08-20,2020-09-18,"Japan","6279:JP",1115,"live",NA,NA,NA,2020-08-25
"G2020082101001",2020-08-21,2020-09-21,"Hong Kong","1432:HK",0.79,"live",NA,0.8,0.0126582278481013,2020-08-25
"G2020082101002",2020-08-21,2020-09-21,"Hong Kong","762:HK",6.35,"live",NA,NA,NA,2020-08-25
"G2020082101003",2020-08-21,2020-09-23,"Japan","2150:JP",2846,"live",NA,2890,0.0154602951510892,2020-08-25
"G2020082101004",2020-08-21,2020-09-23,"Japan","3628:JP",3865,"live",NA,3800,-0.0168175937904269,2020-08-25
"G2020082101005",2020-08-21,2020-09-23,"Japan","6279:JP",1165,"live",NA,NA,NA,2020-08-25
"G2020082401001",2020-08-24,2020-09-22,"Hong Kong","1432:HK",0.8,"live",NA,0.8,0,2020-08-25
"G2020082401002",2020-08-24,2020-09-22,"Hong Kong","762:HK",6.26,"live",NA,NA,NA,2020-08-25
"G2020082401003",2020-08-24,2020-09-24,"Japan","2150:JP",2871,"live",NA,2890,0.0066179031696274,2020-08-25
"G2020082401004",2020-08-24,2020-09-24,"Japan","3628:JP",3910,"live",NA,3800,-0.0281329923273658,2020-08-25
"G2020082401005",2020-08-24,2020-09-24,"Japan","6279:JP",1170,"live",NA,NA,NA,2020-08-25
